# N=1000000000 D=10000 squarefree_d=6083 time=27.9s (table 13.2s)
# pi_2(N)=3424506  x/log^2x=2328539.5
# sum_{d<=D sqfree} |Lambda_d| = 5663877  ratio to x/log^2x = 2.4324  ratio to pi_2 = 1.6539
# max |Lambda_d|/A_d = 5.145e-3 at d=9598   max |Lambda_d| = 26570 at d=5
# d	omega	A_d	Lambda_d	Lambda_d/A_d	Lambda_d*sqrt(d/x)
1801	1	1110495	76	6.844e-5	0.1020
1802	3	2219755	1198	5.397e-4	1.6082
1803	2	2218525	-258	-1.163e-4	-0.3464
1806	4	4429678	-1219	-2.752e-4	-1.6382
1807	2	2213613	1424	6.433e-4	1.9142
1810	3	2209945	1502	6.797e-4	2.0207
1811	1	1104363	240	2.173e-4	0.3230
1814	2	1102535	-720	-6.530e-4	-0.9697
1817	2	2201431	322	1.463e-4	0.4340
1819	2	2199010	2271	1.033e-3	3.0629
1821	2	2196595	-506	-2.304e-4	-0.6828
1822	2	1097695	-1694	-1.543e-3	-2.2866
1823	1	1097093	764	6.964e-4	1.0315
1826	3	2190581	940	4.291e-4	1.2702
1829	2	2186987	-1596	-7.298e-4	-2.1584
1830	4	4371586	-463	-1.059e-4	-0.6263
1831	1	1092299	-138	-1.263e-4	-0.1867
1833	3	4364429	-2466	-5.650e-4	-3.3387
1834	3	2181025	484	2.219e-4	0.6555
1835	2	2179837	-1546	-7.092e-4	-2.0942
1837	2	2177462	-311	-1.428e-4	-0.4215
1838	2	1088139	472	4.338e-4	0.6399
1839	2	2175095	-1154	-5.306e-4	-1.5649
1841	2	2172733	-978	-4.501e-4	-1.3270
1842	3	2171553	32	1.474e-5	0.0434
1843	2	2170374	-701	-3.230e-4	-0.9517
1846	3	2166846	-1913	-8.829e-4	-2.5991
1847	1	1082837	1044	9.641e-4	1.4188
1851	2	2160994	-357	-1.652e-4	-0.4857
1853	2	2158661	908	4.206e-4	1.2360
1855	3	4312668	817	1.894e-4	1.1127
1857	2	2154011	-1644	-7.632e-4	-2.2403
1858	2	1076427	184	1.709e-4	0.2508
1861	1	1074691	66	6.141e-5	0.0900
1865	2	2144773	-1390	-6.481e-4	-1.8983
1866	3	2143623	2966	1.384e-3	4.0516
1867	1	1071237	854	7.972e-4	1.1669
1869	3	4280364	-3199	-7.474e-4	-4.3734
1870	4	4278074	751	1.755e-4	1.0270
1871	1	1068947	346	3.237e-4	0.4733
1873	1	1067805	858	8.035e-4	1.1742
1874	2	1067235	-1518	-1.422e-3	-2.0781
1877	1	1065531	-686	-6.438e-4	-0.9398
1878	3	2129926	1441	6.765e-4	1.9747
1879	1	1064395	1072	1.007e-3	1.4695
1882	2	1062699	-868	-8.168e-4	-1.1908
1883	2	2124270	-329	-1.549e-4	-0.4515
1885	3	4244031	4592	1.082e-3	6.3046
1886	3	2120891	1324	6.243e-4	1.8183
1887	3	4239534	-941	-2.220e-4	-1.2926
1889	1	1058761	-744	-7.027e-4	-1.0226
1891	2	2115282	1377	6.510e-4	1.8936
1893	2	2113049	-42	-1.988e-5	-0.0578
1894	2	1055967	-198	-1.875e-4	-0.2725
1895	2	2110818	57	2.700e-5	0.0785
1897	2	2108593	1194	5.663e-4	1.6445
1898	3	2107482	-393	-1.865e-4	-0.5414
1901	1	1052077	542	5.152e-4	0.7473
1902	3	2103050	-1977	-9.401e-4	-2.7265
1903	2	2101945	-1414	-6.727e-4	-1.9506
1905	3	4199475	-3030	-7.215e-4	-4.1821
1906	2	1049317	-758	-7.224e-4	-1.0465
1907	1	1048767	2040	1.945e-3	2.8171
1909	2	2095338	-91	-4.343e-5	-0.1257
1910	3	2094242	1435	6.852e-4	1.9832
1913	1	1045479	634	6.064e-4	0.8769
1914	4	4179729	-1628	-3.895e-4	-2.2523
1915	2	2088774	-869	-4.160e-4	-1.2026
1918	3	2085506	-1147	-5.500e-4	-1.5885
1919	2	2084419	-150	-7.196e-5	-0.2078
1921	2	2082249	-1178	-5.657e-4	-1.6327
1923	2	2080083	1580	7.596e-4	2.1910
1927	2	2075766	-1413	-6.807e-4	-1.9615
1929	2	2073613	4	1.929e-6	0.0056
1930	3	2072539	-478	-2.306e-4	-0.6641
1931	1	1035733	530	5.117e-4	0.7365
1933	1	1034661	-124	-1.198e-4	-0.1724
1934	2	1034127	-76	-7.349e-5	-0.1057
1937	2	2065049	-792	-3.835e-4	-1.1023
1938	4	4127967	290	7.025e-5	0.4037
1939	2	2062919	720	3.490e-4	1.0026
1941	2	2060794	-439	-2.130e-4	-0.6116
1942	2	1029867	-172	-1.670e-4	-0.2397
1943	2	2058673	1004	4.877e-4	1.3995
1945	2	2056555	-286	-1.391e-4	-0.3989
1946	3	2055498	-489	-2.379e-4	-0.6822
1947	3	4108885	1620	3.943e-4	2.2605
1949	1	1026167	436	4.249e-4	0.6087
1951	1	1025115	844	8.233e-4	1.1789
1954	2	1023541	-276	-2.697e-4	-0.3858
1955	3	4092071	-2412	-5.894e-4	-3.3725
1957	2	2043945	-1972	-9.648e-4	-2.7587
1958	3	2042902	-1685	-8.248e-4	-2.3578
1959	2	2041858	2263	1.108e-3	3.1674
1961	2	2039775	1200	5.883e-4	1.6804
1963	2	2037698	265	1.300e-4	0.3713
1965	3	4071247	3848	9.452e-4	5.3941
1966	2	1017294	7	6.881e-6	0.0098
1967	2	2033554	-801	-3.939e-4	-1.1234
1969	2	2031489	-10	-4.922e-6	-0.0140
1970	3	2030457	-2568	-1.265e-3	-3.6044
1973	1	1013685	1204	1.188e-3	1.6912
1974	4	4052684	-2417	-5.964e-4	-3.3959
1977	2	2023267	-1128	-5.575e-4	-1.5860
1978	3	2022245	-946	-4.678e-4	-1.3305
1979	1	1010611	462	4.571e-4	0.6499
1981	2	2019182	-529	-2.620e-4	-0.7446
1982	2	1009081	-156	-1.546e-4	-0.2196
1983	2	2017146	581	2.880e-4	0.8182
1985	2	2015114	-2189	-1.086e-3	-3.0841
1986	3	2014099	632	3.138e-4	0.8906
1987	1	1006543	-1226	-1.218e-3	-1.7282
1990	3	2010050	497	2.473e-4	0.7011
1991	2	2009041	-136	-6.769e-5	-0.1919
1993	1	1003513	1074	1.070e-3	1.5162
1994	2	1003009	626	6.241e-4	0.8840
1995	4	8020050	449	5.598e-5	0.6342
1997	1	1001503	192	1.917e-4	0.2713
1999	1	1000501	1296	1.295e-3	1.8324
2001	3	3998001	3844	9.615e-4	5.4376
2002	4	3996004	-1995	-4.992e-4	-2.8228
2003	1	998503	544	5.448e-4	0.7699
2005	2	1995013	2360	1.183e-3	3.3417
2006	3	1994018	-1275	-6.394e-4	-1.8058
2010	4	3980100	-1563	-3.927e-4	-2.2159
2011	1	994531	34	3.419e-5	0.0482
2013	3	3974167	-1868	-4.700e-4	-2.6503
2014	3	1986098	829	4.174e-4	1.1765
2015	3	3970223	-142	-3.577e-5	-0.2016
2017	1	991571	330	3.328e-4	0.4687
2018	2	991081	-206	-2.079e-4	-0.2926
2019	2	1981179	-1172	-5.916e-4	-1.6653
